slug,question,volume,liquidity,endDate,active,closed
will-iran-win-the-2026-fifa-world-cup-788,Will Iran win the 2026 FIFA World Cup?,6866709.086316014,1497000.22349,2026-07-20,True,False
will-raphael-warnock-win-the-2028-democratic-presidential-nomination-914,Will Raphael Warnock win the 2028 Democratic presidential nomination?,19063332.355893966,675085.19806,2028-11-07,True,False
will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,10508306.408315953,539219.72355,2026-12-31,True,False
will-jon-stewart-win-the-2028-democratic-presidential-nomination-518,Will Jon Stewart win the 2028 Democratic presidential nomination?,8284611.5491195265,380830.51972,2028-11-07,True,False
will-f1-win-best-picture-at-the-98th-academy-awards-948,Will F1 win Best Picture at the 98th Academy Awards?,2520203.922736996,354193.28801,2026-03-15,True,False
will-the-golden-state-warriors-win-the-2026-nba-finals,Will the Golden State Warriors win the 2026 NBA Finals?,4108710.807550006,330086.65248,2026-07-01,True,False
russia-x-ukraine-ceasefire-before-2027,Russia x Ukraine ceasefire by end of 2026?,11324729.345849067,313639.2633,2026-12-31,True,False
will-bugonia-win-best-picture-at-the-98th-academy-awards,Will Bugonia win Best Picture at the 98th Academy Awards?,2365398.2947149905,312438.51781,2026-03-15,True,False
russia-x-ukraine-ceasefire-by-march-31-2026,"Russia x Ukraine ceasefire by March 31, 2026?",23391549.431729417,294421.17728,2026-03-31,True,False
will-frankenstein-win-best-picture-at-the-98th-academy-awards,Will Frankenstein win Best Picture at the 98th Academy Awards?,2051142.6638029902,247156.1562,2026-03-15,True,False
will-train-dreams-win-best-picture-at-the-98th-academy-awards-736,Will Train Dreams win Best Picture at the 98th Academy Awards?,2313954.092330992,197780.75971,2026-03-15,True,False
putin-out-before-2027,Putin out as President of Russia by end of 2026?,2617658.177329008,183203.066,2026-12-31,True,False
will-marty-supreme-win-best-picture-at-the-98th-academy-awards,Will Marty Supreme win Best Picture at the 98th Academy Awards?,2165668.83096399,125960.41462,2026-03-15,True,False
will-hamnet-win-best-picture-at-the-98th-academy-awards,Will Hamnet win Best Picture at the 98th Academy Awards?,2168275.8429509955,124474.84369,2026-03-15,True,False
will-the-secret-agent-win-best-picture-at-the-98th-academy-awards-938,Will The Secret Agent win Best Picture at the 98th Academy Awards?,1764940.0490959988,111169.36173,2026-03-15,True,False
will-6-fed-rate-cuts-happen-in-2026,Will 6 Fed rate cuts happen in 2026?,1394918.232973991,108885.13393,2026-12-31,True,False
will-sentimental-value-win-best-picture-at-the-98th-academy-awards,Will Sentimental Value win Best Picture at the 98th Academy Awards?,1509861.1602759946,103427.65606,2026-03-15,True,False
